lemma	tag
"alih aksara"	noun
"ambek paramaarta"	adjective
"atas nama"	noun
"bakas lewu"	noun
"balas dendam"	verb
"bango tolak"	noun
"batu bara"	noun
"bebas murni"	noun
"bebas tugas"	verb
"benzoil peroksida"	noun
"besi tua"	noun
"besi tua"	noun
"bijak raja"	noun
"bit gula"	noun
"bua tanah"	noun
"budi daya"	noun
"bulu tangkis"	noun
"bumi hangus"	verb
"bumi rata"	other
"cacah jiwa"	noun
"cacah jiwa"	noun
"caci maki"	noun
"campur aduk"	verb
"campur baur"	verb
"cancan bulan"	noun
"cocok tanam"	verb
"cocok tanam"	noun
"dada ruah"	noun
"daftar hitam"	noun
"dari mana"	pronoun
"dari sana"	pronoun
"dari sini"	pronoun
"dari situ"	pronoun
"datu petinggi"	noun
"daun nasi"	noun
"daur ulang"	noun
"daur ulang"	noun
"daya guna"	noun
"daya guna"	noun
"daya guna"	noun
"daya upaya"	noun
"di mana"	pronoun
"di mana"	pronoun
"di sana"	pronoun
"di sini"	pronoun
"di situ"	pronoun
"dies natalis"	noun
"don juan"	noun
"etil alkohol"	noun
"ganggu gugat"	verb
"garis bawah"	noun
"gotong royong"	verb
"hakul adam"	noun
"hancur lebur"	verb
"hancur luluh"	adjective
"haru biru"	noun
"hijau daun"	noun
"hijau daun"	adjective
"hina dina"	adjective
"hitam putih"	adjective
"hot dog"	noun
"ikut serta"	verb
"in absensia"	adverb
"ingin tahu"	noun
"iri hati"	adjective
"Isa Almasih"	other
"Isa Almasih"	other
"jabat tangan"	verb
"jamiatul hujaj"	noun
"jarang laut"	noun
"jasa boga"	noun
"jasa boga"	noun
"jual beli"	noun
"jual beli"	verb
"jungkir balik"	verb
"juru bicara"	noun
"kacip fatimah"	noun
"kambing hitam"	noun
"kandi putih"	noun
"kapita selekta"	noun
"kapur sirih"	noun
"kartu merah"	noun
"kecak pinggang"	other
"kecil hati"	adjective
"kecil hati"	adjective
"kecil hati"	adjective
"keleseh peseh"	verb
"kembang biak"	verb
"kerese pese"	verb
"kereta api"	noun
"kerong kerang"	noun
"keruh bumi"	noun
"khalikul alam"	noun
"khalikul bahri"	noun
"kirita makuta"	noun
"kota mara"	noun
"kota mara"	noun
"kota mara"	noun
"kota mara"	noun
"kotak katik"	noun
"kumis kucing"	noun
"kumis kucing"	noun
"kumis kucing"	noun
"laku lajak"	verb
"lalu lintas"	verb
"lalu lintas"	noun
"lalu lintas"	noun
"latar belakang"	noun
"latar belakang"	noun
"latar belakang"	noun
"latar belakang"	noun
"latar belakang"	noun
"lilit kutu"	noun
"lipat ganda"	noun
"luar biasa"	adjective
"luluh lantak"	verb
"Maha Esa"	adjective
"masa bodoh"	adjective
"masa bodoh"	verb
"meja hijau"	noun
"mempelas hari"	noun
"mitra sejajar"	noun
"morf zero"	noun
"naik kelas"	verb
"nawala patra"	noun
"nawala patra"	noun
"neko neko"	adverb
"nerak sarak"	verb
"Nuzulul Quran"	noun
"olah gerak"	noun
"om swastiastu"	adjective
"pacar cina"	noun
"pamong praja"	noun
"pancar terus"	verb
"pangkal tolak"	noun
"pangreh praja"	noun
"pecah belah"	verb
"pecah belah"	verb
"pecah belah"	noun
"pecah beling"	other
"peran serta"	noun
"persona nongrata"	noun
"persona nongrata"	noun
"pesta pora"	other
"peti es"	noun
"peti es"	noun
"pindah tugas"	verb
"pro forma"	adjective
"pukul rata"	adjective
"pungut v"	other
"putar balik"	verb
"putar balik"	noun
"putar lidah"	verb
"putih mata"	noun
"putih tulang"	noun
"putri malu"	noun
"putu mayang"	noun
"ramah tamah"	adjective
"ramah tamah"	noun
"raudatul atfal"	noun
"reka bentuk"	noun
"reka cipta"	noun
"reka pangan"	noun
"ripta loka"	noun
"rumah sakit"	noun
"rumah sakit jiwa"	noun
"rumah sakit"	noun
"rumah tangga"	noun
"rumah tangga"	noun
"salah arti"	noun
"salah guna"	verb
"sama ada"	other
"sama rata"	verb
"sama rata"	verb
"sambil lalu"	adverb
"sambil lalu"	adverb
"sambung tangan"	noun
"sangga mara"	other
"sangkut paut"	noun
"sari pati"	noun
"sebar luas"	verb
"sepak bola"	noun
"serah terima"	noun
"seri bumi"	noun
"seri danta"	noun
"setia kawan"	noun
"siap sedia"	verb
"siap siaga"	verb
"simpang siur"	verb
"simpang siur"	verb
"simpang siur"	verb
"simpang siur"	verb
"sopan santun"	noun
"spina bifida"	noun
"suci hama"	adjective
"sunat rasul"	noun
"surat kabar"	noun
"susah payah"	adjective
"suul adab"	adjective
"taat asas"	adjective
"tabula rasa"	noun
"tambak bukit"	noun
"tambak bukit"	noun
"tanggung jawab"	noun
"tanggung jawab"	noun
"tangkup telentang"	verb
"tapak burung"	noun
"tapak burung"	noun
"tapak dara"	noun
"tapak gajah"	noun
"tapak kuda"	noun
"tapak liman"	noun
"tapak liman"	noun
"tapak liman"	noun
"tapak tilas"	other
"tapak tilas"	other
"tata bahasa"	noun
"tata bahasa"	noun
"tata guna"	noun
"tata laksana"	noun
"tata negara"	noun
"tata niaga"	noun
"tata praja"	noun
"tata usaha"	noun
"teka teki"	noun
"teka teki"	noun
"temu duga"	noun
"tenaga kerja"	noun
"tenaga kerja"	noun
"tenaga nuklir"	noun
"tepa salira"	adjective
"tepat guna"	noun
"tepung tawar"	noun
"terang jelas"	verb
"terima kasih"	noun
"terus terang"	verb
"tiang pancang"	noun
"tiang pancang"	noun
"tindak lanjut"	verb
"titik berat"	noun
"titik berat"	noun
"tosan aji"	noun
"transmigrasi lokal"	noun
"trias politika"	noun
"tuan rumah"	noun
"tuan rumah"	noun
"tuan rumah"	noun
"tugas karya"	verb
"tujuh bulan"	other
"tujuh hari"	noun
"tumpang sari"	verb
"tunggang langgang"	adverb
"ubah bentuk"	verb
"ulang kali"	verb
"ulang tahun"	noun
"ulang tahun"	noun
"uluk salam"	verb
"ungu tirus"	noun
"unjuk rasa"	noun
"usur patol"	noun
"warga negara"	noun
"wawas diri"	verb
"wulu cumbu"	noun
"wulu cumbu"	noun
"wulu cumbu"	noun
"Yakjuj wa Makjuj"	noun
"Yakjuj wa Makjuj"	noun
"yupa prasasti"	noun
"zirkonium oksida"	noun
